group,sc1,sc2_1,sc4,sc5,q1_1,q2_1,q4_1,q5_1,q5_2,q5_3,q5_4,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q6_8,q6_9,q6_10,q6_11,q6_12,q6_13,q6_14,q6_15,q6_16,q6_17,q6_18,q6_19,q6_20,q6_21,q6_22,q6_23,q6_24,q6_25,q6_26,q6_27,q6_28,q6_29,q6_30,q6_31,q6_32,q6_33,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_12,q7_13,q7_14,q7_15,q7_16,q7_17,q7_18,q7_19,q7_20,q7_21,q7_22,q7_23,q7_24,q7_25,q7_26,q7_27,q7_28,q7_29,q7_30,q7_31,q7_32,q7_33,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_8,q8_9,q8_10,q8_11,q8_12,q8_13,q8_14,q8_15,q8_16,q8_17,q8_18,q8_19,q8_20,q8_21,q8_22,q8_23,q8_24,q8_25,q8_26,q8_27,q8_28,q8_29,q8_30,q8_31,q8_32,q8_33
10,2,66,2,1,2,70,2,2,2,2,2,3,8,2,1,1,1,2,2,2,2,2,4,2,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
13,1,42,2,4,2,50,1,4,4,3,5,1,8,8,1,2,1,1,1,1,1,1,1,2,2,2,2,4,2,2,1,3,1,2,3,3,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,15,2,2,15,2,15,15,15,15,15,15,15,2,2,1,2,2,2,15,15,6,6,2,3,6,2,3,4,15,15,15,6,8
12,1,37,2,4,2,60,3,2,5,5,3,1,8,1,1,3,3,1,1,1,1,4,1,1,1,1,3,3,1,3,1,1,2,2,8,2,5,1,3,1,1,1,2,1,2,3,3,2,2,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,14,2,1,5,14,1,1,1,1,1,7,5,1,1,4,1,4,1,4,1,2,2,2,1,1,1,4,5,1,8,1,4,1
10,2,61,2,2,3,70,4,5,5,3,2,2,6,2,1,6,1,1,2,1,3,8,5,2,1,1,1,3,2,3,1,2,2,2,3,1,2,1,5,2,2,2,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,3,2,1,8,11,8,1,2,2,1,3,6,1,2,4,2,14,8,8,1,3,3,1,1,2,3,3,14,14,14,10,8,2
13,1,49,2,4,2,30,1,4,4,4,4,2,4,3,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,2,2,2,4,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,2,14,14,2,1,2,2,2,2,2,2,2,2,4,4,4,4,1,5,5,2,2,2,2,2,14,14,14,15,4,15
1,1,29,2,1,3,30,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,4,4,2,2,2,3,1,1,3,3,3,1,1,2,2,2,2,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,5,4,3,8,8,8,8,8,8,8,8,8,2,2,2,2,1,1,8,1,4,4,4,8,8,1,8,8,8,8,1,1,1
3,1,49,2,1,5,50,2,3,3,3,2,2,5,2,1,3,2,1,2,1,3,5,4,2,2,2,2,3,2,2,1,2,1,1,2,2,2,1,3,1,2,8,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,14,6,2,8,14,2,1,1,1,2,6,6,1,2,1,2,2,2,2,15,4,3,1,2,1,2,2,14,2,2,14,14,4
18,2,45,2,4,2,90,2,5,4,5,1,1,5,2,1,5,2,1,1,1,1,6,4,2,14,3,12,5,3,4,3,2,2,2,2,1,2,1,5,1,2,3,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,1,2,2,8,2,1,8,8,8,1,1,1,2,8,3,1,1,2,4,4,4,4,2,9,3,2,1,8,4,3,9,9,9,14,8,2
9,2,54,2,2,3,60,2,4,4,3,2,3,5,2,2,4,2,1,2,2,2,6,8,2,2,2,3,4,3,3,3,3,2,3,3,3,3,2,5,3,2,3,1,1,3,3,2,2,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,1,1,2,6,3,1,14,14,2,1,2,2,2,2,6,1,2,2,1,3,3,3,2,4,4,1,5,2,2,5,14,14,14,14,6,3
5,1,60,2,2,2,10,1,4,3,3,4,5,11,2,2,4,3,2,3,3,8,11,5,2,2,2,5,4,3,4,5,2,2,2,2,2,5,2,3,2,2,1,1,2,3,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,2,3,3,3,2,3,2,2,3,2,2,15,2,2,8,4,15,15,15,15,15,15,15,15,15,15,15,1,2,2,1,2,2,2,3,1,15,2,3,3,3,15,4,8
9,2,58,2,2,2,60,2,4,4,4,3,3,5,2,2,4,3,2,2,2,2,6,1,2,1,1,3,3,3,3,2,3,3,2,2,2,5,1,3,1,2,1,1,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,6,6,1,8,8,2,8,1,1,1,8,1,8,1,1,2,8,8,8,1,2,2,2,8,2,2,2,8,8,8,1,8,3
12,1,35,1,4,1,100,3,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,4,1,8,8,1,1,2,1,2,8,3,1,1,1,2,3,3,2,1,4,4,1,2,2,2,2,8,8,8,1,2,1
2,1,38,2,1,2,90,3,3,5,3,3,2,4,2,2,3,3,2,3,3,2,4,4,2,5,3,7,4,3,3,3,3,3,3,3,3,2,2,3,2,2,2,1,1,3,1,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2,2,2,2,3,2,3,14,5,2,14,14,8,2,2,2,2,8,8,2,1,2,2,8,8,8,1,3,3,2,8,8,5,3,14,14,14,1,5,1
5,1,67,2,1,3,50,4,2,3,3,2,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,12,11,10,9,8,7,6,5,3,2,1,2,3,4,5,6,1,1,1,1,2,2,2,2,3,3,3,2,2,2,1,1,1,1,2,2,2,3,3,3,2,2,2,1,1,1,1,2,2,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,10,9,8,7,6,5,4,3,2,1,2,3,4,5
13,1,48,1,4,4,10,1,3,5,2,3,2,4,1,1,3,3,2,2,2,3,5,5,2,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,2,4,1,2,3,2,2,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,3,3,2,2,2,3,3,3,2,3,3,2,1,2,1,2,3,1,8,8,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,3,1,8,1,8,3,8,8,8,8,8,2
10,2,69,2,2,3,50,3,5,3,3,3,2,6,2,1,4,3,2,3,3,3,6,5,2,2,2,3,4,4,4,3,3,3,2,2,2,3,1,4,3,3,1,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,1,7,3,1,8,14,14,1,2,2,2,7,7,1,8,8,1,8,8,8,2,14,6,1,8,8,3,8,14,15,14,15,8,8
19,2,59,2,4,3,80,4,5,3,2,1,3,8,2,1,5,2,2,5,5,3,8,5,2,2,2,8,5,2,5,5,5,3,3,3,2,5,2,5,2,2,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,1,2,2,8,3,1,14,14,8,1,1,1,4,8,8,1,1,8,1,8,8,8,4,2,2,1,8,8,2,2,14,14,14,14,8,2
15,1,63,2,3,2,50,1,3,3,3,3,4,6,3,1,4,4,2,2,2,5,6,4,2,4,1,2,4,2,4,4,2,1,1,4,1,2,1,4,3,3,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,2,13,12,12,13,13,13,13,1,6,1,15,15,2,4,3,4,4,15,3,3,2,3,8,14,1,4,3,2,15,6,4
7,2,39,2,1,6,90,2,3,2,3,1,3,3,3,3,3,3,4,3,3,3,4,4,2,3,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,2,6,2,2,1,2,2,2,2,1,2,2,2,2,3,3,1,1,1,2,1,2,2,3,1,2,2,2,2,2,1,2,2,2,1,1,1,4,4,5,5,6,5,5,4,4,5,5,5,4,5,6,6,5,5,4,5,6,6,6,7,7,8,6,7,7,7,13,8,8
2,1,33,2,1,4,20,2,2,3,2,2,3,6,2,2,5,3,1,1,1,2,5,3,1,2,2,2,3,2,3,2,3,4,3,3,2,2,3,2,3,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,2,2,2,2,1,2,2,4,5,5,5,5,4,4,5,4,4,6,5,1,3,5,5,3,4,5,2,3,3,3,4,3,3,2,6,6,6,8,7,8
4,1,50,2,2,6,30,5,1,2,3,2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,3,4,5,3,4,5,3,4,5,4,3,4,5,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,3,4,5,3,4,5,3,5,4,3,4,5,3,4,5,3,4,5,5,3,3,4,5,5,5,4,3,4,5,4,3,4,5
17,2,39,1,4,4,50,5,3,4,2,3,8,5,2,2,6,8,1,8,14,11,7,4,1,8,3,4,3,2,3,4,3,1,3,3,3,4,1,5,3,2,1,1,2,3,2,2,2,2,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,8,4,2,8,8,1,1,1,1,1,7,3,1,1,1,2,1,1,8,1,1,1,1,1,1,1,2,8,8,8,15,3,1
13,1,43,1,4,3,50,1,5,3,4,5,3,8,2,1,3,3,2,4,2,2,8,2,2,2,2,9,2,2,2,1,2,2,3,3,2,3,2,3,2,2,1,1,1,2,2,2,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,2,2,5,1,2,2,2,2,4,15,2,1,2,1,4,4,4,15,4,3,2,2,1,1,1,4,4,4,15,2,15
15,1,60,2,4,2,30,2,1,3,3,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,4,2,3,3,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,2,4,2,2,2,2,2,2
5,1,63,2,2,1,10,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,3,1,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
9,2,51,2,2,1,100,5,2,4,1,2,2,5,2,2,3,3,2,2,2,4,8,3,2,2,5,8,2,2,2,3,2,2,3,3,2,3,1,3,2,2,5,1,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,3,2,3,3,2,3,3,3,1,2,2,11,8,2,14,14,2,1,1,1,1,8,6,1,1,1,1,8,8,8,4,7,7,1,8,3,2,7,14,14,14,14,8,15
5,1,66,2,2,3,30,2,3,2,3,1,3,6,2,3,2,3,2,3,3,3,6,4,2,2,2,4,3,2,3,3,3,3,4,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,3,2,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,3,2,8,2,2,3,3,3,3,8,8,8
8,2,49,2,2,4,90,5,3,3,3,3,2,4,1,1,3,2,1,1,1,2,5,5,2,2,2,3,3,3,3,4,2,3,2,3,2,2,1,3,3,3,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,5,5,14,14,8,2,2,2,2,8,8,2,1,2,2,8,8,8,8,4,4,1,8,3,8,3,14,14,14,15,8,15
15,1,62,2,3,2,10,1,2,1,2,4,3,5,2,1,2,2,1,1,1,2,5,1,1,2,2,3,4,3,3,3,2,3,2,3,3,2,3,2,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,1,3,3,2,2,2,2,2,2,2,2,3,2,2,2,3,5,3,3,1,3,1,1,2,3,2,2,1,1,2,3,2,1,1,2,2,3,2,1,2,2,4,5,4,1,2,2
14,1,51,1,4,2,50,1,1,3,1,3,1,2,1,1,3,2,2,1,2,1,3,1,2,2,1,2,3,3,3,1,2,1,2,3,2,1,2,2,3,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,3,3,3,2,2,6,3,3,3,3,3,3,2,1,1,4,5,4,3,1,3,3,2,3,2,3,3,2,2,2,1,1,1
13,1,47,2,4,2,20,1,5,1,3,5,3,5,3,2,5,3,3,3,3,3,8,4,2,2,2,2,3,3,3,3,2,2,2,3,2,3,2,4,3,3,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,15,2,3,2,6,2,2,2,6,6,6,15,7,15
4,1,59,2,2,2,30,1,5,2,5,3,3,8,1,1,3,3,3,1,1,4,4,4,5,5,5,5,4,4,4,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,1,55,2,3,1,1,3,3,3,3,3,5,5,6,2,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
19,2,59,1,4,1,100,1,5,5,5,5,2,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,8,6,1,1,8,8,1,1,1,1,8,8,1,1,1,7,7,7,7,1,4,4,3,3,3,6,6,6,3,6,1,1,1
15,1,67,2,4,1,100,1,4,4,4,4,1,6,2,2,2,1,2,1,2,2,5,5,2,2,2,2,3,3,3,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,1,8,8,1,1,1,2,1,3,3,1,1,1,1,3,3,3,1,4,4,1,1,1,1,4,4,4,4,8,7,3
13,1,47,1,4,4,10,1,5,5,5,5,1,8,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,15,15,15,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,7,7,15,15,15
19,2,59,2,3,1,100,1,3,3,3,3,3,5,2,1,3,2,1,2,2,2,3,1,2,8,2,5,4,3,2,1,2,2,4,2,1,4,1,4,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,8,8,2,2,1,1,1,3,2,2,1,2,2,4,4,4,1,2,2,1,1,4,2,2,8,2,8,15,15,15
17,2,33,1,4,1,50,4,3,3,3,3,5,8,5,5,5,5,5,5,5,5,5,5,3,2,5,5,3,2,5,4,3,2,3,4,2,4,1,5,2,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,15,2,15,15,14,15,1,1,1,15,15,15,1,1,1,1,8,8,8,1,8,8,1,1,3,1,1,9,9,9,14,14,1
11,1,24,1,4,1,100,2,4,4,4,4,3,5,2,2,2,2,2,2,2,2,5,5,5,5,5,4,5,4,5,4,3,4,3,3,3,3,4,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,2,3,2,2,3,3,2,3,3,2,3,2,3,3,2,1,5,5,5,1,1,1,1,7,3,1,1,3,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,15,15,15
20,2,60,2,4,2,80,3,3,3,3,3,3,5,2,2,4,3,2,2,14,5,8,8,2,2,2,3,3,3,3,3,3,3,3,4,2,3,2,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,8,3,2,8,8,6,1,3,2,2,2,8,1,2,2,2,2,4,4,4,3,1,1,3,3,3,4,4,4,3,5,5,5
6,2,28,2,1,1,100,3,4,3,4,3,3,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3
6,2,29,2,1,2,70,3,3,3,3,3,2,5,1,1,3,2,2,1,1,1,8,3,1,7,2,3,3,1,2,3,2,2,3,2,2,3,1,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,2,2,3,3,3,2,2,2,11,2,2,6,11,3,2,1,8,1,6,6,2,1,1,1,8,8,8,1,3,4,2,2,2,1,3,14,3,8,15,6,15
12,1,39,2,4,2,70,2,2,5,2,3,4,5,2,1,5,2,2,2,2,3,11,5,2,3,2,4,4,3,3,4,3,2,2,3,2,3,2,5,3,3,14,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,14,5,1,2,14,5,1,15,15,1,15,15,1,1,4,2,4,4,4,2,4,4,2,8,8,3,4,8,15,8,15,8,15
19,2,53,2,4,1,98,3,4,3,2,3,3,7,3,2,4,3,2,5,5,4,6,5,2,8,4,8,4,3,3,5,4,3,4,4,4,4,4,5,4,4,5,4,4,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,14,3,2,14,14,2,2,2,2,2,7,7,2,2,2,2,8,8,8,2,4,4,2,4,4,2,3,14,14,14,8,8,2
15,1,60,1,4,1,100,1,4,3,4,3,1,4,1,1,3,2,1,1,1,1,3,3,1,1,2,1,3,2,3,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,15,2,1,3,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,15,2,2,1,2,2,2,2,2,2,2,15,2,2
14,1,53,1,4,1,100,2,4,3,4,4,3,4,3,2,4,3,2,2,2,2,4,4,2,4,3,3,3,3,3,3,2,2,3,4,3,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,4,4,4,1,3,3,1,2,2,2,3,2,2,2,1,1,1
18,2,45,1,4,1,100,2,3,3,3,3,3,5,2,1,3,4,1,5,5,5,7,7,1,5,5,4,4,2,5,5,2,2,1,5,5,5,1,3,3,2,14,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,3,15,8,8,1,15,15,15,15,1,1,15,15,15,1,1,1,1,1,8,2,1,5,5,2,2,8,15,4,15,4,15
14,1,57,1,4,1,100,3,3,3,3,3,3,5,1,3,2,3,2,2,3,2,4,1,2,2,3,2,4,4,3,3,3,3,3,4,3,5,2,3,2,2,1,2,3,2,2,3,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,8,4,2,8,8,5,2,5,5,8,8,15,2,6,6,6,4,4,4,4,3,3,2,4,4,4,3,8,8,8,15,6,5
11,1,28,1,4,3,10,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1
15,1,60,1,4,2,10,1,4,2,4,2,2,8,3,2,3,2,1,1,1,3,9,4,2,3,3,3,3,3,3,3,3,1,3,4,3,3,2,3,2,2,6,1,4,1,1,2,2,3,3,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,1,2,2,4,3,3,14,5,1,1,1,1,3,4,8,2,15,15,5,7,4,2,15,4,4,3,3,15,15,2,7,7,12,12,6,15
14,1,51,1,4,1,100,4,5,2,3,3,3,5,1,1,2,2,1,1,1,2,2,2,2,13,2,2,3,2,2,1,2,2,2,5,2,5,2,3,2,2,1,2,1,1,1,2,2,2,3,2,3,3,3,1,1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,4,4,1,1,1,1,1,4,4,1,1,1,1,2,2,2,1,4,4,1,2,1,2,3,4,4,4,1,14,1
13,1,42,1,4,2,50,2,4,2,3,3,8,8,5,2,4,3,2,2,2,3,5,5,3,3,3,9,4,3,3,4,4,3,5,2,2,3,1,4,2,2,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,8,3,1,6,8,1,1,2,8,2,7,2,1,1,1,1,5,5,5,1,3,3,1,8,1,2,3,8,8,8,2,8,2
13,1,41,2,3,1,100,1,4,4,4,4,2,5,1,1,2,1,1,1,1,1,3,3,1,1,1,2,4,3,3,6,2,1,2,3,1,2,1,2,2,1,1,1,1,2,1,2,2,3,3,2,3,3,2,3,3,2,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,8,2,1,8,8,1,1,1,2,1,8,8,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,8,8,8,1,8,1
3,1,48,2,1,2,20,1,3,3,3,2,2,8,1,1,3,2,1,1,1,2,8,4,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,3,1,2,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,1,2,2,1,1,1,1,8,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,6,2
18,2,41,1,4,2,4,5,4,4,4,4,5,5,2,2,5,2,2,2,2,3,8,3,2,8,2,2,4,3,3,3,3,2,2,4,1,5,1,4,2,2,8,1,2,3,3,2,2,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,2,3,2,2,8,2,2,14,14,14,14,15,15,2,7,7,15,15,15,2,8,8,8,15,8,2,1,6,6,1,6,6,6,6,1,1,1
16,2,29,1,4,3,10,4,3,3,3,3,3,3,2,1,3,5,1,3,3,7,5,5,1,11,11,8,4,4,4,4,3,1,3,3,4,3,2,5,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,15,1,1,1,1,1,1,1,8,8,8,15,8,1
19,2,51,2,4,2,90,5,5,4,3,4,8,12,5,3,4,5,3,12,12,3,11,4,5,12,4,8,8,3,5,8,5,5,5,5,5,5,3,4,3,3,12,3,5,2,2,2,2,2,3,2,3,3,2,2,2,3,3,3,3,1,2,1,3,2,2,2,2,3,3,2,2,2,2,2,2,2,8,4,1,8,3,2,1,1,1,2,7,7,1,1,2,1,6,6,6,1,3,3,2,3,2,2,2,6,8,8,1,3,1
20,2,61,2,4,2,100,2,2,1,2,3,4,6,3,2,4,4,2,2,2,2,8,1,2,2,2,5,4,4,4,4,4,4,4,5,3,3,2,4,3,2,1,2,3,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,8,4,3,1,1,1,1,3,1,1,1,1,1,4,4,4,1,4,4,2,2,2,2,2,8,8,8,1,4,8
15,1,65,2,3,3,5,2,2,3,3,3,5,2,5,4,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,2,2,3,2,2,2,3,3,2,2,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,3,2,2,3,2,2,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2
10,2,65,2,2,4,80,8,3,3,3,3,4,6,2,3,5,2,2,2,2,4,5,5,5,3,2,5,5,5,5,5,5,5,3,4,2,5,3,5,5,4,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,3,1,14,14,8,2,5,5,2,8,8,2,1,6,2,8,8,8,6,4,4,2,6,8,8,4,14,14,14,15,8,8
